,Customer Id,Date,Products
0,0011457U6R3Y,2020-10-13,"['rollsbuns', 'brown bread', 'dessert']"
1,008J5Z3CJPYU,2019-01-27,"['root vegetables', 'flour']"
2,008J5Z3CJPYU,2019-06-12,"['salty snack', 'bottled beer']"
3,008J5Z3CJPYU,2019-10-17,['domestic eggs']
4,008J5Z3CJPYU,2019-10-28,['white bread']
5,00D4E3I1MS2R,2019-05-05,"['rollsbuns', 'sauces']"
6,00D4E3I1MS2R,2020-07-19,['white bread']
7,00D4E3I1MS2R,2020-07-27,"['frozen fish', 'whole milk']"
8,00D4E3I1MS2R,2020-12-09,"['baking powder', 'soda']"
9,011K5G14VFYQ,2019-02-12,['whole milk']
10,011K5G14VFYQ,2019-04-15,"['long life bakery product', 'hard cheese']"
11,011K5G14VFYQ,2019-09-07,"['waffles', 'pudding powder']"
12,011K5G14VFYQ,2019-09-22,"['grapes', 'hard cheese']"
13,011K5G14VFYQ,2019-12-05,"['root vegetables', 'white bread']"
14,011K5G14VFYQ,2020-08-31,"['yogurt', 'butter milk']"
15,018OA73Z6TR6,2019-01-17,['ketchup']
16,018OA73Z6TR6,2019-06-17,"['curd', 'processed cheese']"
17,018OA73Z6TR6,2020-05-01,"['root vegetables', 'grapes', 'white bread', 'dishes']"
18,018OA73Z6TR6,2020-10-22,['tropical fruit']
19,018OA73Z6TR6,2020-12-15,"['turkey', 'whole milk', 'citrus fruit', 'pastry', 'soda']"
20,01HFRBUAX0R7,2019-01-18,"['organic sausage', 'UHTmilk']"
21,01HFRBUAX0R7,2019-02-27,['rollsbuns']
22,01HFRBUAX0R7,2019-10-01,"['pip fruit', 'root vegetables']"
23,01HFRBUAX0R7,2020-03-26,"['whole milk', 'finished products', 'beef']"
24,01P3WF5V85R2,2019-01-16,"['rollsbuns', 'sliced cheese']"
25,01P3WF5V85R2,2019-03-12,"['other vegetables', 'frozen meals']"
26,01P3WF5V85R2,2019-08-30,"['whole milk', 'candy']"
27,01P3WF5V85R2,2020-05-07,"['citrus fruit', 'whole milk', 'sliced cheese']"
28,01R5I405KV4M,2019-04-21,"['chicken', 'rollsbuns']"
29,01R5I405KV4M,2020-01-31,"['chicken', 'rollsbuns']"
30,01R5I405KV4M,2020-02-02,"['pip fruit', 'hamburger meat', 'butter', 'yogurt']"
31,01R5I405KV4M,2020-06-14,"['beef', 'pastry', 'whole milk']"
32,01R5I405KV4M,2020-08-30,"['citrus fruit', 'butter milk']"
33,02IUM6MABVTH,2020-07-16,"['bottled water', 'tropical fruit', 'specialty chocolate']"
34,02IUM6MABVTH,2020-11-06,['pastry']
35,02RKBAEV3PZ2,2019-03-27,['pip fruit']
36,02RKBAEV3PZ2,2019-09-01,['root vegetables']
37,02RKBAEV3PZ2,2020-03-04,"['chicken', 'whole milk']"
38,02RKBAEV3PZ2,2020-03-16,"['whole milk', 'soda']"
39,02YTPYLKVBBL,2019-11-24,"['tropical fruit', 'soda']"
40,02YZDGXTF2GU,2019-07-09,"['whole milk', 'processed cheese']"
41,02YZDGXTF2GU,2019-12-25,['brown bread']
42,02YZDGXTF2GU,2019-12-28,"['rollsbuns', 'other vegetables', 'whippedsour cream']"
43,03NH6WK6VBJE,2019-03-01,"['rollsbuns', 'chewing gum']"
44,03NH6WK6VBJE,2019-06-01,"['curd', 'domestic eggs']"
45,03NH6WK6VBJE,2019-08-18,"['tropical fruit', 'brown bread']"
46,03NH6WK6VBJE,2019-11-11,['herbs']
47,03NH6WK6VBJE,2020-01-23,"['rollsbuns', 'sausage', 'whole milk', 'pastry', 'yogurt', 'dessert', 'curd']"
