,Customer Id,Date,Product
0,JKML5ZWXP0XQ,2020-07-20,tropical fruit
1,YOGWQIUPDAJ7,2020-04-30,whole milk
2,Q3NL22281AF6,2020-09-18,pip fruit
3,C59GRTLMZQAU,2020-12-11,other vegetables
4,WUSF8LTEQZ5L,2020-01-02,whole milk
5,MICEEAEQ9LX5,2020-02-14,rollsbuns
6,XBIAXE6PVLF7,2020-08-04,other vegetables
7,QJ7BSEZEXTDA,2020-12-22,pot plants
8,QAIAGD5XA9EW,2020-03-19,whole milk
9,QXH9SBEFLTPU,2020-12-01,tropical fruit
10,631LMQWD7TI3,2020-02-24,citrus fruit
11,LWPOQ0DSOK8W,2020-04-13,beef
12,JVGW5LAXQ4XJ,2020-03-08,chicken
13,YREUD7Q8WRFH,2020-07-20,butter
14,5PA8L41ERU4H,2020-03-29,fruitvegetable juice
15,ILRK16Z152DV,2020-03-04,packaged fruitvegetables
16,WKKA9LMIYHN3,2020-02-09,chocolate
17,YVAVKVHY7JJF,2020-03-07,specialty bar
18,S0DI41Z183KZ,2020-07-06,other vegetables
19,FLUJI1KLVGJ9,2020-08-08,butter milk
20,KUZE2BB7P14K,2020-12-10,whole milk
21,4CI0JEUDPL0D,2020-09-17,tropical fruit
22,WDX8UVG6H10R,2020-11-29,tropical fruit
23,02IUM6MABVTH,2020-07-16,bottled water
24,I8TCYULKDOLL,2020-12-05,yogurt
25,18X4SF8JKYY2,2020-02-13,sausage
26,CON20325PUM6,2020-01-14,other vegetables
27,IVMLFZUPB8OL,2020-08-02,brown bread
28,U2N3LHNI8G7W,2020-01-27,yogurt
29,UDE0EZZA9K1Q,2020-10-21,hamburger meat
30,VYI2ORCDZO37,2020-10-25,root vegetables
31,KGVX3PB4Y9VA,2020-03-09,beef
32,EG54K618NNVC,2020-11-03,pastry
33,S0DI41Z183KZ,2020-02-21,fruitvegetable juice
34,36CYK2UJVKFM,2020-08-31,root vegetables
35,0942TE5T8N2L,2020-03-03,citrus fruit
36,5P7WZC62773F,2020-04-19,sausage
37,ZQH0L836USTE,2020-04-07,tropical fruit
38,HBYCU56L0S2V,2020-07-18,berries
39,8F2I253VOPA1,2020-10-15,butter milk
40,QNXHCCN7RGKN,2020-06-05,coffee
41,CQ9KNBAXCQY6,2020-09-25,pastry
42,BU8EENK2ZYD5,2020-08-14,rollsbuns
43,2UNLNLQ93X9Y,2020-08-24,root vegetables
44,PE3BQ2HLG7NM,2020-11-02,sausage
45,RC8CKPJYE5RV,2020-07-27,turkey
46,NHG8O5TUS3AE,2020-05-08,whole milk
47,60KL4MZX3S88,2020-03-03,whole milk
48,41HI5FLZNDI6,2020-06-18,packaged fruitvegetables
49,C5E5B11DQDP6,2020-07-27,rollsbuns
50,VQTNCPVBRYOO,2020-06-15,rollsbuns
51,33K5LL2E3STP,2020-01-20,other vegetables
52,7IFQWX8C7KYS,2020-03-19,sausage
53,H2Z0XMSRL3QU,2020-02-15,sausage
54,IPLPFV4F1Z7P,2020-07-01,rollsbuns
55,LLRS330CORJ8,2020-02-03,whole milk
56,4BKW4OL4D88L,2020-03-13,curd cheese
57,KE1JWTCQMDSD,2020-01-07,sausage
58,3G64ROISJBKU,2020-03-10,tropical fruit
59,JOOT3NXTEBI4,2020-09-28,whole milk
60,NYRA39UWF1HW,2020-05-04,whole milk
61,CJ278NDYURT4,2020-12-04,frozen potato products
62,WKVTKVVCQT4V,2020-01-07,other vegetables
63,9G1P9BWRZV4U,2020-08-06,citrus fruit
64,SVU1C0LBGRMK,2020-09-20,flour
65,2FY9JKIWFBY3,2020-10-11,sugar
66,S741GSWDMMC6,2020-09-29,frozen meals
67,AWQ3I481SOL7,2020-01-31,chocolate
68,Q06KI1F40PU7,2020-12-12,root vegetables
69,OV8WLFXPRQR9,2020-09-17,root vegetables
70,LRWVFLSC8X5B,2020-04-02,herbs
71,23SK69V4I5VN,2020-11-29,bottled water
72,HKVLQ91Z9DDX,2020-12-19,sausage
73,8LPLAY0QKTAR,2020-04-07,coffee
74,53T41AJ4BJ5H,2020-02-18,berries
75,QGIR3HAL8U4P,2020-07-21,soda
76,26RGMOU59J94,2020-08-22,berries
77,HQKZC4NVVUZN,2020-04-14,fruitvegetable juice
78,YOGSG3SLXTZS,2020-01-26,citrus fruit
79,TC4YT2N3J70B,2020-10-19,detergent
80,75WJI7ZH7P8Q,2020-08-16,grapes
81,5ZZAOLSATDP6,2020-05-16,sausage
82,RSXA4KHD04FF,2020-07-24,chicken
83,GRX0QI2ZP7TA,2020-12-22,whole milk
84,2H82CV3KZI6J,2020-12-11,citrus fruit
85,YXLWHQ5CHYBT,2020-11-08,soda
86,4HJW7OA82DVO,2020-03-19,sausage
87,YRHJZX5Z5FA3,2020-08-11,sausage
88,PYF3851E4OY8,2020-04-24,soda
89,E4FKYIX72UBP,2020-08-06,rollsbuns
90,X9SB7MKFLP65,2020-05-13,beef
91,CZRX0VWGJOMI,2020-04-04,whole milk
92,CC9P3SODF408,2020-10-09,processed cheese
93,KVL4CB205EYP,2020-03-03,tropical fruit
94,QU4BUV8EKHXZ,2020-10-29,packaged fruitvegetables
95,NXNYCMIT8NTH,2020-05-22,whole milk
96,O9JPKL5QZ08N,2020-05-05,berries
97,WKV6ETMP7LBR,2020-07-10,citrus fruit
98,QZ9J7GJQLA3X,2020-04-08,tropical fruit
99,ISXWMPP5UWNI,2020-05-17,hamburger meat
100,FWT30Z1IJK41,2020-03-25,hamburger meat
101,P762TK55HAZN,2020-06-22,whole milk
102,57JYPASX2K4X,2020-10-07,fish
103,CBHNZ6FWILUM,2020-01-06,packaged fruitvegetables
104,Z0JAZY2LAOUH,2020-05-14,pastry
105,A6RFTYEBW5FS,2020-06-13,other vegetables
106,YLOM1I58OVJV,2020-10-05,specialty bar
107,7ROGZHQ6CW9B,2020-09-17,sausage
108,584OZ88CA1YT,2020-11-10,curd cheese
109,H74MEHEWGHUR,2020-04-04,whole milk
110,D0RAX7YP966K,2020-09-29,berries
111,59BZEK9IB99M,2020-01-13,curd
